Filename, Package, Minor, Major, Total, Ownership, #Bugs
PostingsReaderBase.java,org.apache.lucene.codecs,0,3,3,0.40,0
OrQueryNode.java,org.apache.lucene.queryparser.flexible.core.nodes,0,0,0,0.00,0
FieldStatsInfo.java,org.apache.solr.client.solrj.response,0,2,2,0.50,0
DataImportHandler.java,org.apache.solr.handler.dataimport,0,6,6,0.17,0
FieldBoostMapFCListener.java,org.apache.lucene.queryparser.flexible.standard.config,0,1,1,1.00,0
AnalysisResponseBase.java,org.apache.solr.client.solrj.response,0,1,1,1.00,0
JustCompileSearchSpans.java,org.apache.lucene.search.spans,0,1,1,1.00,1
ScriptIterator.java,org.apache.lucene.analysis.icu.segmentation,0,1,1,1.00,0
TestReaderClosed.java,org.apache.lucene.index,0,5,5,0.29,0
ReportTask.java,org.apache.lucene.benchmark.byTask.tasks,0,0,0,0.00,0
TestFieldCache.java,org.apache.lucene.uninverting,0,2,2,0.78,1
TermsCollector.java,org.apache.lucene.search.join,0,3,3,0.40,1
EdgeNGramTokenizer.java,org.apache.lucene.analysis.ngram,0,3,3,0.33,0
DirectPackedReader.java,org.apache.lucene.util.packed,0,2,2,0.67,0
BatchWriter.java,org.apache.solr.hadoop,0,3,3,0.33,0
StoredFieldsWriter.java,org.apache.lucene.codecs,0,3,3,0.50,0
IndexNotFoundException.java,org.apache.lucene.index,0,0,0,0.00,0
Lambda.java,org.apache.lucene.search.similarities,0,0,0,0.00,0
FilesystemResourceLoader.java,org.apache.lucene.analysis.util,0,1,1,1.00,0
HdfsDirectoryFactoryTest.java,org.apache.solr.core,0,1,1,1.00,0
TestCustomSort.java,org.apache.solr.search,0,0,0,0.00,0
TestCheckIndex.java,org.apache.lucene.index,0,4,4,0.43,1
TestGermanNormalizationFilter.java,org.apache.lucene.analysis.de,0,1,1,1.00,0
Lev1ParametricDescription.java,org.apache.lucene.util.automaton,0,0,0,0.00,0
AbstractEncoder.java,org.apache.lucene.analysis.payloads,0,0,0,0.00,0
PayloadAttributeImpl.java,org.apache.lucene.analysis.tokenattributes,0,1,1,1.00,0
RawResponseWriter.java,org.apache.solr.response,0,2,2,0.50,0
BaseTestRangeFilter.java,org.apache.lucene.search,0,4,4,0.25,0
TestSort.java,org.apache.solr.search,0,6,6,0.29,1
TestFinnishAnalyzer.java,org.apache.lucene.analysis.fi,0,2,2,0.67,0
ElisionFilter.java,org.apache.lucene.analysis.util,0,0,0,0.00,0
KeepOnlyLastCommitDeletionPolicy.java,org.apache.lucene.index,0,0,0,0.00,0
DocumentDictionaryFactory.java,org.apache.solr.spelling.suggest,0,0,0,0.00,0
Trec1MQReader.java,org.apache.lucene.benchmark.quality.trec,0,1,1,1.00,0
FieldQuery.java,org.apache.lucene.search.vectorhighlight,0,2,2,0.50,1
BlockDirectory.java,org.apache.solr.store.blockcache,0,4,4,0.50,0
Test2BBinaryDocValues.java,org.apache.lucene.index,0,6,6,0.20,0
BulkOperationPacked3.java,org.apache.lucene.util.packed,0,0,0,0.00,0
HyphenatedWordsFilterFactory.java,org.apache.lucene.analysis.miscellaneous,0,0,0,0.00,0
CopyField.java,org.apache.solr.schema,0,0,0,0.00,0
