size, priority, comp, queue, S_Apple, S_Google, S_RIM, S_Intel, S_Igalia, R_Apple, R_Google, R_RIM, R_Intel, R_Igalia, s_exp, r_exp, obsolete, time, outcome,outcome,"loc,time,trans"
5,1,1,2,0,0,0,0,0,0,1,0,0,0,10,156,FALSE,1331.333333,1,r+,"5,1331.33333333333,r+"
4,1,2,2,0,0,0,0,0,0,1,0,0,0,13,696,FALSE,88.21666667,1,r+,"4,88.2166666666667,r+"
3,1,0,0,0,0,0,0,0,0,0,0,0,0,19,22,TRUE,126.7666667,1,r+,"3,126.766666666667,r+"
3,1,0,0,0,0,0,0,0,1,0,0,0,0,20,230,FALSE,1.966666667,1,r+,"3,1.96666666666667,r+"
8,1,1,1,0,0,0,0,0,1,0,0,0,0,6,927,FALSE,925.25,1,r+,"8,925.25,r+"
2,1,1,0,0,1,0,0,0,1,0,0,0,0,270,481,FALSE,2,1,r+,"2,2,r+"
11,1,2,1,0,1,0,0,0,1,0,0,0,0,143,465,TRUE,29.9,1,r+,"11,29.9,r+"
11,1,2,0,0,1,0,0,0,0,1,0,0,0,145,896,TRUE,457.1,1,r+,"11,457.1,r+"
11,1,2,0,0,1,0,0,0,0,1,0,0,0,147,900,FALSE,5.55,1,r+,"11,5.55,r+"
10,1,1,0,1,0,0,0,0,1,0,0,0,0,61,134,FALSE,29.38333333,1,r+,"10,29.3833333333333,r+"
16,1,1,2,0,0,0,0,0,1,0,0,0,0,21,384,FALSE,232.7166667,1,r+,"16,232.716666666667,r+"
414,1,4,0,0,0,1,0,0,0,0,0,0,0,148,45,TRUE,814.2166667,1,r+,"414,814.216666666667,r+"
230,1,1,1,0,0,1,0,0,1,0,0,0,0,150,180,TRUE,1404.966667,1,r+,"230,1404.96666666667,r+"
215,1,1,0,0,0,1,0,0,1,0,0,0,0,151,181,TRUE,58.06666667,1,r+,"215,58.0666666666667,r+"
719,1,1,0,0,0,1,0,0,0,0,0,0,0,154,46,TRUE,67.65,1,r+,"719,67.65,r+"
6,1,1,0,0,0,1,0,0,0,0,0,0,0,155,47,TRUE,9.55,1,r+,"6,9.55,r+"
341,1,2,0,0,0,1,0,0,0,0,0,0,0,157,48,TRUE,1149.933333,1,r+,"341,1149.93333333333,r+"
10,1,1,0,1,0,0,0,0,1,0,0,0,0,51,236,TRUE,16,1,r+,"10,16,r+"
14,1,1,0,1,0,0,0,0,1,0,0,0,0,53,237,FALSE,3.6,1,r+,"14,3.6,r+"
9,1,1,1,0,1,0,0,0,1,0,0,0,0,84,131,FALSE,1151.366667,1,r+,"9,1151.36666666667,r+"
11,1,1,1,1,0,0,0,0,1,0,0,0,0,318,850,FALSE,2.516666667,1,r+,"11,2.51666666666667,r+"
8,1,2,2,1,0,0,0,0,1,0,0,0,0,215,131,FALSE,1125.916667,1,r+,"8,1125.91666666667,r+"
