ID|BRANCH|PROJECT|queue_r1|queue_r2|queue_r3|queue_r4|queue_r5|queue_r6|queue_r7|queue_r8
I00005f8ae5f2fa55f23f8618f154cbe8dd06188a|master|openstack/nova|25|14|\N|\N|\N|\N|\N|\N
I000d895a88887dff71076e79fcd6e96947a44b86|master|openstack/keystone|2|1|\N|\N|\N|\N|\N|\N
I0019c1e0c0dbb0cd48a7f389376480e7fa1b1e07|master|openstack/cinder|20|4|\N|\N|\N|\N|\N|\N
I001d40e9aaa15dfa98230a1b6902b1d24931c9af|master|openstack/cinder|5|15|\N|\N|\N|\N|\N|\N
I002677253fe978bf960218f31d0b3f3975255223|master|openstack/nova|16|16|\N|\N|\N|\N|\N|\N
I0027f03fd084fd490c43e6a957f84a57de7523a6|master|openstack/cinder|43|22|\N|\N|\N|\N|\N|\N
I0037373b1fa5b51463647e430dd47b6d60090594|master|openstack/cinder|5|39|\N|\N|\N|\N|\N|\N
I0044c5c35a35eb99d2b9549065c401b0f1ccbd28|master|openstack/cinder|29|12|\N|\N|\N|\N|\N|\N
I0045effc9319772127758be4aacca02ab5c236cd|master|openstack/neutron|2|8|\N|\N|\N|\N|\N|\N
I004a2399fdd54718ecb0679aa4269f3736761595|master|openstack/keystone|17|8|\N|\N|\N|\N|\N|\N
I004a76237fe8d927a1d45dab4fdfefaf1af6de96|master|openstack/neutron|9|38|6|\N|\N|\N|\N|\N
I004c2cbba40c2e6f8dc3569b35deae40c6085ae5|master|openstack/keystone|10|\N|\N|\N|\N|\N|\N|\N
I004d94d1d4b632880ed289ccdc9bf45cffc0e095|master|openstack/neutron|11|2|\N|\N|\N|\N|\N|\N
I004f3962f7c83113bed6bd9e3ccd002f017bd260|master|openstack/cinder|6|1|8|\N|\N|\N|\N|\N
I00519cf9482651212ab430f31b90d3b4d901ee32|master|openstack/neutron|4|5|\N|\N|\N|\N|\N|\N
I00519cf9482651212ab430f31b90d3b4d901ee32|stable/kilo|openstack/neutron|35|15|\N|\N|\N|\N|\N|\N
I0051e0b75b17279ffb61de328d7ccc7a12dc99dc|master|openstack/neutron|6|4|34|\N|\N|\N|\N|\N
I0054809573f04f03a3e4deeb482d61f280576ad3|master|openstack/nova|34|13|\N|\N|\N|\N|\N|\N
I0055b5bf402b0aa7b4ee78b0fb40bedea850af94|master|openstack/cinder|20|11|\N|\N|\N|\N|\N|\N
I0065dd194a7c910cc9f9d9b468e5d43bf5c9b7c0|master|openstack/nova|8|46|\N|\N|\N|\N|\N|\N
I006970736ba0e62df383bacc79b5754dea2e9a3e|master|openstack/cinder|7|3|\N|\N|\N|\N|\N|\N
I006c05d246f59fc6aff597543bedc68589d37576|master|openstack/cinder|50|16|19|\N|\N|\N|\N|\N
I0072157d0cf9ab87a5b939868ae4a1d0bbec294b|master|openstack/keystone|7|2|8|\N|\N|\N|\N|\N
I0078f6dc32932beb6db534ecf22b160097c5a090|master|openstack/keystone|7|8|\N|\N|\N|\N|\N|\N
I00881db2ecbd559fdac7ad11ac452b0075ccc289|master|openstack/nova|48|23|\N|\N|\N|\N|\N|\N
I00957c4d39117a50d2ac2753f853841eedbe86a0|master|openstack/cinder|17|8|\N|\N|\N|\N|\N|\N
I009f7f5e3b014633541ed5a45628aa1b2287e22b|master|openstack/neutron|10|26|\N|\N|\N|\N|\N|\N
I00aedf952d691a809c23025b89131ea0f02b6431|master|openstack/swift|5|\N|\N|\N|\N|\N|\N|\N
