ID|BRANCH|PROJECT|CREATEDON|P_CREATEDON|R_GRANTEDON|P_R_GRANTEDON|TIMEINSECOND|POSITIVITY
I00005f8ae5f2fa55f23f8618f154cbe8dd06188a|master|openstack/nova|1459794430|04-APR-16|1460492555|12-APR-16|698125|1
I0000c5bf29629fc1ded7b9e3ae26989fbf9dc286|master|openstack/cinder|1469068450|21-JUL-16|1469419550|25-JUL-16|351100|1
I0000c5bf29629fc1ded7b9e3ae26989fbf9dc286|stable/mitaka|openstack/cinder|1469814329|29-JUL-16|1469819296|29-JUL-16|4967|1
I0004a2c95b01e87ebfea1ed70e35219c7a468af0|master|openstack/nova|1463077965|12-MAY-16|1464179530|25-MAY-16|1101565|1
I0005a6ff2c4a96d88bce15751d68e579fa998a66|master|openstack/neutron|1443508177|29-SEP-15|1443757936|02-OCT-15|249759|1
I0007e65adecea2dc070898138fef15e1f95d7e56|stable/mitaka|openstack/nova|1460529939|13-APR-16|1461035468|19-APR-16|505529|1
I0009e04506308a3128a51d892fc7618bb3d9b3fe|master|openstack/keystone|1439203277|10-AUG-15||||
I000a4e708006263acc6d9731a6677a6e62e285b6|master|openstack/swift|1471029494|12-AUG-16|1471030108|12-AUG-16|614|1
I000ab639e68534e7be111cc3759b6ae1dffd5520|master|openstack/cinder|1467104728|28-JUN-16||||
I000d676ee95d34d43530c2ce2e4d1b3c01dab063|master|openstack/nova|1467882723|07-JUL-16|1468226110|11-JUL-16|343387|1
I000d895a88887dff71076e79fcd6e96947a44b86|master|openstack/keystone|1433603777|06-JUN-15|1439535404|14-AUG-15|5931627|1
I0015ac0c71f34a1585ba40509be717b10e11773e|master|openstack/cinder|1467702282|05-JUL-16|1468353739|12-JUL-16|651457|1
I0018d17371af05c1422cde76ffc182258586d179|master|openstack/neutron|1453067375|17-JAN-16||||
I0019c1e0c0dbb0cd48a7f389376480e7fa1b1e07|master|openstack/cinder|1447346185|12-NOV-15|1448222913|22-NOV-15|876728|1
I001bc901810dc3b30f157f4292e6404868d462a3|master|openstack/nova|1421824688|21-JAN-15||||
I001c5c4a8381630b4424a4be8dd63eeed43bdd7d|master|openstack/nova|1419236447|22-DEC-14|1423463782|09-FEB-15|4227335|1
I001d40e9aaa15dfa98230a1b6902b1d24931c9af|master|openstack/cinder|1458212311|17-MAR-16|1458325293|18-MAR-16|112982|1
I0020a1a78004cfca1bcec40ecc938d3e2362dba8|master|openstack/keystone|1403618906|24-JUN-14||||
I00215d01579f7252cd64a4c2f1d0727e5ba54d53|master|openstack/nova|1447881594|18-NOV-15||||
I002445523a344778fcf7975fb77d6a7e36f08f66|master|openstack/glance|1475112051|29-SEP-16||||
I0025893535837ebcd53e9fdcc7dc71c509fe0988|master|openstack/nova|1440606354|26-AUG-15||||
I002677253fe978bf960218f31d0b3f3975255223|master|openstack/nova|1429891140|24-APR-15|1430841931|05-MAY-15|950791|1
I002787f558781bd4d884129b127bc9f108ea9ec4|master|openstack/swift|1429026476|14-APR-15|1429028614|14-APR-15|2138|1
I0027f03fd084fd490c43e6a957f84a57de7523a6|master|openstack/cinder|1436171878|06-JUL-15|1437142228|17-JUL-15|970350|1
I002a4d367dd1a6b4c58e4891cdc0bedebd52527c|master|openstack/nova|1416854224|24-NOV-14|1421159457|13-JAN-15|4305233|-1
I002b80ba8e5496c164d08357e4cce9e0b4abf5cf|master|openstack/neutron|1474443922|21-SEP-16|1474473243|21-SEP-16|29321|1
I002b80ba8e5496c164d08357e4cce9e0b4abf5cf|stable/newton|openstack/neutron|1474473257|21-SEP-16|1474495869|21-SEP-16|22612|1
I0037373b1fa5b51463647e430dd47b6d60090594|master|openstack/cinder|1467202745|29-JUN-16|1467209330|29-JUN-16|6585|1
I0038955bdb56b39384c64e544a69f612ae1b898f|master|openstack/neutron|1434607518|18-JUN-15||||
I003964dfc46673bed3717862043d76bfb59ce217|master|openstack/nova|1464878693|02-JUN-16|1465227646|06-JUN-16|348953|1
I003fc1cc84cd429fbdc0c4f0847be81d920d3561|master|openstack/nova|1462800638|09-MAY-16|1463094978|12-MAY-16|294340|1
I004302c0bfd52325acc3ad703a17f09f7be833f9|master|openstack/cinder|1423789646|13-FEB-15||||
I0043518bdd09d2b2db5be48a942ae91ffc74a524|master|openstack/keystone|1468457176|14-JUL-16|1468469313|14-JUL-16|12137|1
I0044c5c35a35eb99d2b9549065c401b0f1ccbd28|master|openstack/cinder|1444966121|16-OCT-15|1446957754|08-NOV-15|1991633|1
I0045effc9319772127758be4aacca02ab5c236cd|master|openstack/neutron|1421834477|21-JAN-15|1426882708|20-MAR-15|5048231|1
I0046eab43f7e82d8d82311efa83c90ea1a083be7|master|openstack/swift|1424960078|26-FEB-15|1425021106|27-FEB-15|61028|-1
I004a05132eb9a7cd7ccccfbd4fdda8f5ee43c518|master|openstack/nova|1469759549|29-JUL-16|1469804705|29-JUL-16|45156|1
I004a2399fdd54718ecb0679aa4269f3736761595|master|openstack/keystone|1460509313|13-APR-16|1460514467|13-APR-16|5154|1
I004a76237fe8d927a1d45dab4fdfefaf1af6de96|master|openstack/neutron|1458083078|15-MAR-16|1458090441|16-MAR-16|7363|1
I004b598bc569971c7808cb9a3584ecadbf226d50|master|openstack/cinder|1460994633|18-APR-16|1464036980|23-MAY-16|3042347|1
